pathway_id,vulnerability_type_label,response_diagnosis_type,policy_domain,policy_package,target_pressure_or_gap,core_variables,scenario_method,evidence_basis,evidence_strength,priority_score,countries_in_scope,expected_output,china_policy_translation,source_modules,rank_overall
risk_2_1,类型2-低缓冲低承载型,按国家响应类型细分,风险治理,高血压筛查、控盐行动与基层连续用药,高收缩压,dbd_high_sbp_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.2607387162150379,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,基层慢病筛查、家庭医生随访、控盐控油行动、基本药物可及性,B + D,11
risk_3_1,类型3-相对稳健型,按国家响应类型细分,风险治理,高血压筛查、控盐行动与基层连续用药,高收缩压,dbd_high_sbp_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.25827077136355525,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,基层慢病筛查、家庭医生随访、控盐控油行动、基本药物可及性,B + D,12
ncd_governance_类型3,类型3-相对稳健型,按国家响应类型细分,政策治理能力,国家NCD综合治理、目标体系、监测系统和跨部门机制补强,integrated_ncd_governance=0.616,integrated_ncd_governance / ncd_policy_capacity_score,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.25563160826550424,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,补齐NCD综合治理框架、目标指标、监测系统和跨部门执行机制,B + C + D + WHO_NCD,13
ncd_hypertension_cascade_类型1,类型1-高负担转型承压型,按国家响应类型细分,服务覆盖,高血压诊断-治疗-控制连续服务提升,ncd_hypertension_control_pct=22.5%,ncd_hypertension_diagnosis_pct / ncd_hypertension_treatment_pct / ncd_hypertension_control_pct,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.2531107948918108,97,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,将高血压筛查、确诊、治疗、达标控制做成基层连续服务闭环,B + C + D + WHO_NCD,14
risk_3_2,类型3-相对稳健型,按国家响应类型细分,风险治理,糖尿病早筛、健康管理与并发症预防,高血糖,dbd_high_glucose_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.2510069712395768,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,糖尿病筛查、社区随访、医防融合、医保慢病用药保障,B + D,15
risk_3_3,类型3-相对稳健型,按国家响应类型细分,风险治理,控盐控油控糖与健康膳食环境建设,膳食风险,dbd_dietary_risks_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.22527328542857306,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,健康中国合理膳食行动、减盐行动、食堂和外卖营养治理,B + D,16
ncd_hypertension_cascade_类型3,类型3-相对稳健型,按国家响应类型细分,服务覆盖,高血压诊断-治疗-控制连续服务提升,ncd_hypertension_control_pct=22.5%,ncd_hypertension_diagnosis_pct / ncd_hypertension_treatment_pct / ncd_hypertension_control_pct,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.21742010560592978,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,将高血压筛查、确诊、治疗、达标控制做成基层连续服务闭环,B + C + D + WHO_NCD,17
risk_2_2,类型2-低缓冲低承载型,按国家响应类型细分,风险治理,糖尿病早筛、健康管理与并发症预防,高血糖,dbd_high_glucose_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.21440673397238605,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,糖尿病筛查、社区随访、医防融合、医保慢病用药保障,B + D,18
risk_2_3,类型2-低缓冲低承载型,按国家响应类型细分,风险治理,控盐控油控糖与健康膳食环境建设,膳食风险,dbd_dietary_risks_per100k,将主导风险设定为下降5%/10%/15%，按风险贡献份额折算综合压力下降,基于模块B风险贡献份额和模块D风险下降情景,风险归因 + 情景模拟证据,0.2044294889723934,48,降低combined_pressure_score，并进一步压低adaptation_gap_score,健康中国合理膳食行动、减盐行动、食堂和外卖营养治理,B + D,19
resource_2,类型1-高负担转型承压型,高压低响应型,卫生资源投入 + 支付与韧性,提高卫生投入强度；降低外部资金依赖；医生和基层全科服务能力补强,卫生支出/GDP / 外部卫生支出依赖 / 医生,che_pct_gdp / ext_he_pct / doctors_10k,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.18175919672394786,10,平均适配缺口下降0.040,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,20
resource_6,类型2-低缓冲低承载型,相对均衡型,卫生资源投入 + 支付与韧性,医生和基层全科服务能力补强；提高人均卫生服务投入；降低外部资金依赖,医生 / 人均卫生支出 / 外部卫生支出依赖,doctors_10k / che_pc_usd / ext_he_pct,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.16567405058608448,4,平均适配缺口下降0.035,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,21
resource_3,类型2-低缓冲低承载型,低压低响应型,卫生资源投入 + 支付与韧性,提高政府筹资和医保支付稳定性；床位与区域医疗服务容量补强；护理队伍、康复和长期照护能力补强,政府卫生支出占比 / 病床 / 护士,govt_he_pct / beds_10k / nurses_10k,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.1623708250036503,44,平均适配缺口下降0.039,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,22
ncd_diabetes_cascade_类型3,类型3-相对稳健型,按国家响应类型细分,服务覆盖,糖尿病治疗覆盖与并发症筛查提升,ncd_diabetes_treatment_pct=44.8%,ncd_diabetes_treatment_pct / diabetes_policy_readiness,接入WHO NCD国家能力调查和NCD服务覆盖指标，识别政策执行/服务连续性短板,WHO GHO NCD bulk: NCD Country Capacity Survey 2013-2023 + hypertension/diabetes service coverage 1990-2022,政策能力 + 服务覆盖观测证据，不写成强因果效应,0.1394059262830131,48,提高政策执行能力或NCD连续服务覆盖，从响应侧降低适配缺口,推动糖尿病筛查、治疗覆盖、用药保障和并发症筛查联动,B + C + D + WHO_NCD,23
resource_5,类型1-高负担转型承压型,高压高响应型,服务覆盖 + 支付与韧性,提高政府筹资和医保支付稳定性；降低外部资金依赖；提升基本医疗服务覆盖,政府卫生支出占比 / 外部卫生支出依赖 / UHC,govt_he_pct / ext_he_pct / uhc_index,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.12662560311844862,50,平均适配缺口下降0.035,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,24
resource_4,类型3-相对稳健型,相对均衡型,卫生资源投入,提高卫生投入强度；护理队伍、康复和长期照护能力补强；医生和基层全科服务能力补强,卫生支出/GDP / 护士 / 医生,che_pct_gdp / nurses_10k / doctors_10k,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.09119665315097703,38,平均适配缺口下降0.036,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,25
resource_8,类型1-高负担转型承压型,相对均衡型,卫生资源投入 + 服务覆盖,护理队伍、康复和长期照护能力补强；提升基本医疗服务覆盖；提高卫生投入强度,护士 / UHC / 卫生支出/GDP,nurses_10k / uhc_index / che_pct_gdp,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.0892420587670593,36,平均适配缺口下降0.034,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,26
resource_1,类型3-相对稳健型,低压低响应型,卫生资源投入 + 服务覆盖,提高卫生投入强度；提升基本医疗服务覆盖；提高人均卫生服务投入,卫生支出/GDP / UHC / 人均卫生支出,che_pct_gdp / uhc_index / che_pc_usd,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.053328308994792274,10,平均适配缺口下降0.042,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,27
tobacco_trend_case,全样本,不分型,风险治理,MPOWER控烟政策趋势证据,吸烟风险暴露,policy_strength / dbd_smoking_per100k / who_smoking_rate_std / who_cigarette_prevalence_btsx,cohort-stacked DID、国家聚类稳健标准误、1年anticipation buffer；仅保留为趋势性机制证据,"控烟DID未形成强因果锁定：coef=-0.007975, p=0.5804；作为风险治理机制案例保留",趋势性机制证据，不作为强因果锁定,0.05,42,为风险治理政策包提供机制案例，不替代多政策适配引擎,控烟条例、无烟公共场所、戒烟门诊、青少年烟草预防,D,28
resource_7,类型1-高负担转型承压型,低压低响应型,卫生资源投入 + 服务覆盖 + 支付与韧性,医生和基层全科服务能力补强；提升基本医疗服务覆盖；降低外部资金依赖,医生 / UHC / 外部卫生支出依赖,doctors_10k / uhc_index / ext_he_pct,沿用模块C：将每个国家最弱的3个资源分项得分各提升0.10，重算adjusted_response_score和adaptation_gap_score,模块C响应失配情景模拟,结构模拟证据，不写成因果效应,0.028017382086457668,1,平均适配缺口下降0.034,转化为中国省级卫生资源、服务覆盖和支付韧性补短板政策,C + D,29
